feature,mean_abs_shap
train_person_1__sex_738L_last,0.1930946657381662
train_applprev_1__district_544M_last,0.16845219085995752
train_static_0__previouscontdistrict_112M,0.16207972033983792
train_person_1__incometype_1044T_last,0.15523694442875993
train_credit_bureau_a_1__dpdmaxdateyear_596T_mean,0.14748401540542225
train_static_0__avgdpdtolclosure24_3658938P,0.13776343319543247
train_person_1__registaddr_district_1083M_last,0.12385960111698839
train_static_0__pmtnum_254L,0.10935359596611018
train_person_1__contaddr_district_15M_last,0.10725901876017466
train_credit_bureau_a_2__pmts_dpd_1073P_mean,0.10243433984163036
train_credit_bureau_a_2__pmts_dpd_303P_mean,0.09339849002687198
train_person_1__contaddr_zipcode_807M_last,0.08397480745705294
train_applprev_1__maxdpdtolerance_577P_mean,0.0823219680589548
train_credit_bureau_a_1__numberofoverdueinstlmax_1151L_var,0.08157589030276285
train_static_0__mobilephncnt_593L,0.07468882557629482
train_static_cb_0__pmtssum_45A,0.07028833116142134
train_person_1__registaddr_zipcode_184M_last,0.06884247141442498
train_static_0__lastrejectdate_50D,0.06701686948878427
train_credit_bureau_a_1__numberofoverdueinstlmaxdat_148D_max,0.06613176647376597
train_credit_bureau_a_2__pmts_overdue_1152A_mean,0.06530351583921987
