feature_a,feature_b,mean_abs_interaction
train_credit_bureau_a_2__pmts_dpd_303P_mean,train_credit_bureau_a_1__numberofoverdueinstlmax_1151L_var,0.11822172220686561
train_credit_bureau_a_1__dpdmaxdateyear_596T_mean,train_credit_bureau_a_1__numberofoverdueinstlmax_1151L_var,0.08897545270926126
train_applprev_1__maxdpdtolerance_577P_mean,train_credit_bureau_a_1__numberofoverdueinstlmax_1151L_var,0.044142571735529594
train_credit_bureau_a_2__pmts_dpd_1073P_mean,train_credit_bureau_a_1__numberofoverdueinstlmax_1151L_var,0.040342155530900134
train_credit_bureau_a_1__numberofoverdueinstlmax_1151L_var,train_static_0__mobilephncnt_593L,0.03783675405173802
train_credit_bureau_a_1__dpdmaxdateyear_596T_mean,train_credit_bureau_a_2__pmts_dpd_303P_mean,0.037611021546190226
train_credit_bureau_a_2__pmts_dpd_303P_mean,train_static_0__mobilephncnt_593L,0.03301197558207402
train_static_0__pmtnum_254L,train_credit_bureau_a_1__numberofoverdueinstlmax_1151L_var,0.030745524046277856
train_credit_bureau_a_1__dpdmaxdateyear_596T_mean,train_credit_bureau_a_2__pmts_dpd_1073P_mean,0.028819553570435565
train_credit_bureau_a_1__dpdmaxdateyear_596T_mean,train_static_0__pmtnum_254L,0.02875614494215868
train_static_0__pmtnum_254L,train_credit_bureau_a_2__pmts_dpd_303P_mean,0.027741221116355467
train_static_0__avgdpdtolclosure24_3658938P,train_applprev_1__maxdpdtolerance_577P_mean,0.02421037033882347
train_credit_bureau_a_1__dpdmaxdateyear_596T_mean,train_static_0__avgdpdtolclosure24_3658938P,0.023942222913570406
train_credit_bureau_a_1__dpdmaxdateyear_596T_mean,train_applprev_1__maxdpdtolerance_577P_mean,0.021196041253515506
train_credit_bureau_a_2__pmts_dpd_1073P_mean,train_credit_bureau_a_2__pmts_dpd_303P_mean,0.02086627423435339
train_credit_bureau_a_2__pmts_dpd_303P_mean,train_applprev_1__maxdpdtolerance_577P_mean,0.02014002193293333
train_static_0__avgdpdtolclosure24_3658938P,train_credit_bureau_a_1__numberofoverdueinstlmax_1151L_var,0.018333209551488223
train_credit_bureau_a_1__dpdmaxdateyear_596T_mean,train_static_0__mobilephncnt_593L,0.0175873985500904
train_credit_bureau_a_2__pmts_dpd_1073P_mean,train_applprev_1__maxdpdtolerance_577P_mean,0.01621922323974103
train_applprev_1__maxdpdtolerance_577P_mean,train_static_0__mobilephncnt_593L,0.01600312338580782
train_static_0__avgdpdtolclosure24_3658938P,train_credit_bureau_a_2__pmts_dpd_303P_mean,0.015652970604384735
train_static_0__avgdpdtolclosure24_3658938P,train_credit_bureau_a_2__pmts_dpd_1073P_mean,0.01400428994130982
train_static_0__pmtnum_254L,train_applprev_1__maxdpdtolerance_577P_mean,0.013714201005005516
train_static_0__pmtnum_254L,train_static_0__mobilephncnt_593L,0.012254171174664596
train_static_0__pmtnum_254L,train_credit_bureau_a_2__pmts_dpd_1073P_mean,0.011623083850974748
train_credit_bureau_a_2__pmts_dpd_1073P_mean,train_static_0__mobilephncnt_593L,0.011200153927028658
train_static_0__avgdpdtolclosure24_3658938P,train_static_0__pmtnum_254L,0.00905529402537152
train_static_0__avgdpdtolclosure24_3658938P,train_static_0__mobilephncnt_593L,0.006713708653998862
